Member_number,Date,itemDescription,itemAisle
4196,11-07-2015,whipped/sour cream,Dairy
3844,17-09-2015,pip fruit,Produce
2248,17-03-2015,newspapers,Household Goods
3280,13-07-2015,UHT-milk,Dairy
1678,08-01-2015,onions,Produce
4567,08-04-2015,whole milk,Dairy
1614,21-10-2015,napkins,Household Goods
4251,17-01-2015,pastry,Bakery
4064,17-09-2015,butter milk,Dairy
4629,24-02-2015,whole milk,Dairy
4249,12-04-2015,other vegetables,Produce
2798,22-08-2015,pastry,Bakery
4944,09-06-2015,bottled beer,Alcohol
4495,16-12-2015,beef,Fresh meat
4524,05-02-2015,specialty bar,Snacks
2941,26-09-2015,yogurt,Dairy
2862,08-08-2015,long life bakery product,Bakery
3248,19-06-2015,pork,Fresh meat
1001,14-04-2015,white bread,Bakery
2104,20-10-2015,cream cheese ,Dairy
2083,19-06-2015,other vegetables,Produce
1932,27-06-2015,tropical fruit,Produce
3760,11-03-2015,soda,Beverages
2894,14-03-2015,newspapers,Household Goods
3590,01-09-2015,citrus fruit,Produce
4616,14-02-2015,condensed milk,Baking
2527,20-01-2015,meat,Fresh meat
2327,07-06-2015,pip fruit,Produce
4091,25-02-2015,whole milk,Dairy
4735,04-01-2015,whole milk,Dairy
4195,05-04-2015,other vegetables,Produce
1017,16-05-2015,rolls/buns,Bakery
4115,22-05-2015,waffles,Frozen Foods
1339,05-05-2015,whole milk,Dairy
4037,29-12-2015,root vegetables,Produce
2789,06-01-2015,grapes,Produce
1620,20-08-2015,yogurt,Dairy
4656,27-01-2015,cat food,Pets
4795,30-07-2015,sliced cheese,Dairy
3843,09-04-2015,grapes,Produce
4710,20-04-2015,pasta,Dry and Canned Foods
1090,10-04-2015,yogurt,Dairy
1539,04-07-2015,margarine,Dairy
2114,24-05-2015,soups,Dry and Canned Foods
4236,13-10-2015,canned beer,Alcohol
4727,10-06-2015,root vegetables,Produce
1967,23-06-2015,seasonal products,Household Goods
1584,31-01-2015,whole milk,Dairy
4883,28-08-2015,other vegetables,Produce
4039,19-01-2015,vinegar,Baking
3927,12-09-2015,rolls/buns,Bakery
3594,09-11-2015,other vegetables,Produce
4129,11-07-2015,margarine,Dairy
2616,16-05-2015,pip fruit,Produce
2539,15-11-2015,tropical fruit,Produce
2556,28-08-2015,pastry,Bakery
3855,18-06-2015,domestic eggs,Dairy
2089,15-10-2015,cream cheese ,Dairy
2466,28-08-2015,whole milk,Dairy
1211,19-04-2015,other vegetables,Produce
1370,07-05-2015,chocolate,Dessert
3779,10-10-2015,domestic eggs,Dairy
3498,31-03-2015,root vegetables,Produce
1613,04-06-2015,whipped/sour cream,Dairy
1176,17-08-2015,other vegetables,Produce
4027,29-06-2015,pip fruit,Produce
4389,17-12-2015,liquor,Alcohol
2578,28-05-2015,root vegetables,Produce
1342,19-02-2015,pastry,Bakery
2210,09-07-2015,rolls/buns,Bakery
4807,04-08-2015,waffles,Frozen Foods
2799,09-10-2015,pickled vegetables,Dry and Canned Foods
2957,27-11-2015,grapes,Produce
3566,14-12-2015,pork,Fresh meat
4768,13-03-2015,flour,Baking
4853,10-04-2015,whole milk,Dairy
3791,25-03-2015,yogurt,Dairy
3235,14-11-2015,long life bakery product,Bakery
3866,07-07-2015,whole milk,Dairy
4385,17-11-2015,margarine,Dairy
4938,12-10-2015,other vegetables,Produce
1528,15-09-2015,chicken,Fresh meat
4273,21-03-2015,whole milk,Dairy
1329,23-05-2015,whipped/sour cream,Dairy
4158,11-11-2015,domestic eggs,Dairy
1558,04-06-2015,other vegetables,Produce
4782,31-05-2015,berries,Produce
4606,15-05-2015,dishes,Household Goods
3066,05-05-2015,other vegetables,Produce
2299,11-10-2015,newspapers,Household Goods
3677,09-01-2015,domestic eggs,Dairy
3947,13-06-2015,liver loaf,Deli
2475,23-07-2015,napkins,Household Goods
4677,04-09-2015,rolls/buns,Bakery
1890,27-05-2015,specialty chocolate,Dessert
3645,12-05-2015,rolls/buns,Bakery
4951,24-11-2015,pip fruit,Produce
1718,14-03-2015,frozen vegetables,Frozen Foods
1304,17-08-2015,whole milk,Dairy
2018,25-08-2015,chocolate,Dessert
3232,06-10-2015,ice cream,Frozen Dessert
4905,25-11-2015,other vegetables,Produce
1238,03-01-2015,margarine,Dairy
4892,13-04-2015,make up remover,Personal Care
4152,18-06-2015,sugar,Baking
1790,02-05-2015,other vegetables,Produce
1874,02-10-2015,other vegetables,Produce
4708,06-06-2015,processed cheese,Dairy
3852,04-01-2015,other vegetables,Produce
4688,05-08-2015,rolls/buns,Bakery
1042,16-10-2015,other vegetables,Produce
4908,20-05-2015,soda,Beverages
1780,07-12-2015,rolls/buns,Bakery
1438,05-11-2015,beef,Fresh meat
1265,19-01-2015,other vegetables,Produce
3669,02-10-2015,white bread,Bakery
2412,13-03-2015,hard cheese,Dairy
1818,09-10-2015,specialty bar,Snacks
2601,27-06-2015,ready soups,Dry and Canned Foods
1905,31-07-2015,whole milk,Dairy
1407,26-06-2015,citrus fruit,Produce
3754,01-02-2015,whole milk,Dairy
2743,05-05-2015,dog food,Pets
2211,22-09-2015,canned beer,Alcohol
4138,06-12-2015,light bulbs,Household Goods
4141,11-12-2015,pot plants,Household Goods
4826,15-06-2015,other vegetables,Produce
2685,10-07-2015,yogurt,Dairy
3793,07-02-2015,rolls/buns,Bakery
4687,23-09-2015,other vegetables,Produce
2277,18-01-2015,shopping bags,Household Goods
4518,20-07-2015,rice,Dry and Canned Foods
1997,28-12-2015,pip fruit,Produce
4114,08-07-2015,salty snack,Snacks
1097,25-09-2015,whipped/sour cream,Dairy
2568,22-09-2015,flour,Baking
1997,20-08-2015,newspapers,Household Goods
4987,01-07-2015,waffles,Frozen Foods
2404,06-02-2015,flour,Baking
1619,03-04-2015,jam,Condiments and Spices
3640,13-03-2015,domestic eggs,Dairy
4537,27-10-2015,salty snack,Snacks
3519,30-07-2015,hamburger meat,Fresh meat
3587,06-08-2015,hair spray,Personal Care
1232,07-01-2015,grapes,Produce
2597,15-08-2015,soda,Beverages
1878,01-10-2015,soda,Beverages
2860,03-01-2015,shopping bags,Household Goods
4006,14-06-2015,root vegetables,Produce
4536,13-09-2015,dessert,Dessert
4180,06-04-2015,whole milk,Dairy
1384,23-03-2015,other vegetables,Produce
3322,10-11-2015,yogurt,Dairy
2543,13-08-2015,cream cheese ,Dairy
3763,27-06-2015,whole milk,Dairy
4459,02-08-2015,hamburger meat,Fresh meat
2736,25-05-2015,soda,Beverages
1549,18-03-2015,beef,Fresh meat
2047,20-12-2015,frozen vegetables,Frozen Foods
3754,22-01-2015,hamburger meat,Fresh meat
2667,16-06-2015,fruit/vegetable juice,Produce
1829,19-06-2015,pork,Fresh meat
1376,30-06-2015,soda,Beverages
2953,01-04-2015,frozen fruits,Frozen Foods
3465,14-06-2015,berries,Produce
3120,23-12-2015,berries,Produce
1301,01-07-2015,soda,Beverages
1865,18-10-2015,dessert,Dessert
2772,12-04-2015,napkins,Household Goods
1875,22-05-2015,berries,Produce
3358,29-03-2015,bottled beer,Alcohol
3255,11-05-2015,frozen dessert,Frozen Dessert
3877,27-05-2015,berries,Produce
1480,24-08-2015,packaged fruit/vegetables,Produce
2850,27-03-2015,finished products,Bakery
1699,07-07-2015,chicken,Fresh meat
3258,20-05-2015,rum,Alcohol
4717,05-03-2015,tropical fruit,Produce
3307,28-06-2015,bottled water,Beverages
2332,15-12-2015,root vegetables,Produce
2431,27-10-2015,newspapers,Household Goods
2312,26-03-2015,red/blush wine,Alcohol
2232,15-01-2015,specialty chocolate,Dessert
3998,14-12-2015,berries,Produce
3054,28-06-2015,pip fruit,Produce
4550,26-03-2015,chicken,Fresh meat
1075,20-07-2015,frozen meals,Frozen Foods
3898,04-11-2015,pork,Fresh meat
3374,27-08-2015,pork,Fresh meat
4262,25-04-2015,other vegetables,Produce
1151,17-09-2015,pip fruit,Produce
3669,17-01-2015,white wine,Alcohol
4222,27-12-2015,tropical fruit,Produce
1914,06-04-2015,rolls/buns,Bakery
1306,20-11-2015,chocolate marshmallow,Dessert
4229,20-08-2015,other vegetables,Produce
2145,12-12-2015,coffee,Beverages
1977,01-12-2015,beef,Fresh meat
4552,19-06-2015,soda,Beverages
4013,18-03-2015,root vegetables,Produce
4566,30-08-2015,pastry,Bakery
3111,23-12-2015,white bread,Bakery
3699,12-12-2015,pastry,Bakery
2895,14-08-2015,hamburger meat,Fresh meat
3868,19-08-2015,domestic eggs,Dairy
3215,24-04-2015,curd,Dairy
2461,10-04-2015,whole milk,Dairy
1452,25-11-2015,other vegetables,Produce
4618,16-12-2015,sliced cheese,Dairy
4721,23-05-2015,canned vegetables,Dry and Canned Foods
2712,21-06-2015,grapes,Produce
1458,24-08-2015,canned beer,Alcohol
3746,11-09-2015,tropical fruit,Produce
3596,20-04-2015,citrus fruit,Produce
4120,12-11-2015,pip fruit,Produce
3215,21-07-2015,canned beer,Alcohol
1674,04-02-2015,shopping bags,Household Goods
3310,14-05-2015,white bread,Bakery
4783,06-01-2015,chewing gum,Snacks
3741,14-06-2015,pastry,Bakery
2466,10-10-2015,whole milk,Dairy
1653,12-07-2015,frozen vegetables,Frozen Foods
2070,28-06-2015,spread cheese,Dairy
1749,01-04-2015,specialty cheese,Dairy
2625,18-02-2015,whole milk,Dairy
3002,21-01-2015,grapes,Produce
1064,25-07-2015,root vegetables,Produce
2127,19-11-2015,bottled beer,Alcohol
4392,16-08-2015,margarine,Dairy
1649,26-05-2015,salty snack,Snacks
4375,29-04-2015,soda,Beverages
1699,25-09-2015,margarine,Dairy
2682,12-01-2015,herbs,Produce
2022,06-03-2015,other vegetables,Produce
2669,29-03-2015,bottled beer,Alcohol
3025,19-10-2015,herbs,Produce
3019,19-12-2015,soda,Beverages
4801,08-04-2015,butter milk,Dairy
3679,25-09-2015,brown bread,Bakery
3380,16-02-2015,yogurt,Dairy
3354,29-11-2015,canned fish,Dry and Canned Foods
1756,23-09-2015,onions,Produce
3172,03-01-2015,pickled vegetables,Dry and Canned Foods
3341,15-12-2015,hamburger meat,Fresh meat
1113,08-05-2015,specialty bar,Snacks
3339,12-08-2015,whole milk,Dairy
3015,10-10-2015,white bread,Bakery
3144,27-04-2015,pip fruit,Produce
4106,03-06-2015,yogurt,Dairy
1798,01-01-2015,pastry,Bakery
1493,22-05-2015,yogurt,Dairy
4454,23-12-2015,bottled water,Beverages
2935,01-09-2015,canned beer,Alcohol
3328,09-12-2015,shopping bags,Household Goods
3915,30-09-2015,pip fruit,Produce
1968,21-08-2015,margarine,Dairy
4355,13-03-2015,misc. beverages,Beverages
1580,08-07-2015,pip fruit,Produce
3703,24-01-2015,domestic eggs,Dairy
1497,18-04-2015,liquor (appetizer),Alcohol
1340,13-03-2015,whole milk,Dairy
1102,27-06-2015,white bread,Bakery
4223,10-07-2015,pastry,Bakery
4190,27-12-2015,soda,Beverages
4695,22-07-2015,margarine,Dairy
1421,23-02-2015,citrus fruit,Produce
3293,05-09-2015,bottled beer,Alcohol
3543,25-02-2015,brown bread,Bakery
1153,26-10-2015,soft cheese,Dairy
4097,14-11-2015,other vegetables,Produce
1073,12-03-2015,brown bread,Bakery
3390,21-02-2015,yogurt,Dairy
1768,19-05-2015,other vegetables,Produce
1186,26-04-2015,whole milk,Dairy
4138,09-04-2015,yogurt,Dairy
2816,10-11-2015,other vegetables,Produce
2568,19-05-2015,other vegetables,Produce
4512,03-07-2015,butter,Dairy
1628,19-11-2015,pastry,Bakery
3911,03-05-2015,brown bread,Bakery
3736,31-03-2015,whole milk,Dairy
4644,07-02-2015,other vegetables,Produce
1583,31-05-2015,pastry,Bakery
3338,17-08-2015,snack products,Snacks
2427,01-08-2015,butter,Dairy
1302,26-08-2015,butter,Dairy
4499,29-10-2015,berries,Produce
1785,02-03-2015,grapes,Produce
3961,24-12-2015,bottled water,Beverages
2326,16-07-2015,whole milk,Dairy
1319,18-08-2015,grapes,Produce
2370,05-06-2015,UHT-milk,Dairy
3118,27-03-2015,citrus fruit,Produce
1067,03-05-2015,tropical fruit,Produce
2870,25-10-2015,beef,Fresh meat
3843,17-10-2015,flower (seeds),Household Goods
1978,03-06-2015,brown bread,Bakery
1849,25-06-2015,soda,Beverages
4077,08-04-2015,other vegetables,Produce
2494,09-03-2015,UHT-milk,Dairy
1442,31-08-2015,misc. beverages,Beverages
3840,28-07-2015,yogurt,Dairy
4288,26-05-2015,white wine,Alcohol
4877,14-06-2015,domestic eggs,Dairy
3215,31-01-2015,tropical fruit,Produce
2425,20-02-2015,other vegetables,Produce
2345,17-12-2015,whole milk,Dairy
1967,27-10-2015,grapes,Produce
2231,12-03-2015,whipped/sour cream,Dairy
3946,13-02-2015,whipped/sour cream,Dairy
3062,08-01-2015,rolls/buns,Bakery
2389,13-11-2015,rolls/buns,Bakery
3599,21-11-2015,whipped/sour cream,Dairy
1737,09-05-2015,condensed milk,Baking
3612,24-06-2015,flour,Baking
4070,27-07-2015,other vegetables,Produce
3206,29-06-2015,curd,Dairy
4065,05-05-2015,canned beer,Alcohol
3804,21-06-2015,butter milk,Dairy
3308,23-10-2015,brown bread,Bakery
2594,21-05-2015,whole milk,Dairy
4521,15-09-2015,chewing gum,Snacks
2226,20-02-2015,pork,Fresh meat
3620,16-05-2015,whole milk,Dairy
1277,23-10-2015,other vegetables,Produce
3704,28-09-2015,yogurt,Dairy
3815,27-06-2015,rolls/buns,Bakery
1724,23-07-2015,canned beer,Alcohol
1619,29-10-2015,root vegetables,Produce
2193,30-09-2015,whole milk,Dairy
4319,26-10-2015,hard cheese,Dairy
1836,09-08-2015,herbs,Produce
1593,31-01-2015,other vegetables,Produce
4082,18-01-2015,brandy,Alcohol
2934,13-09-2015,UHT-milk,Dairy
2577,26-01-2015,other vegetables,Produce
4944,10-03-2015,semi-finished bread,Bakery
3439,25-08-2015,canned beer,Alcohol
2475,05-07-2015,fish,Fresh meat
2492,05-11-2015,other vegetables,Produce
2337,05-10-2015,waffles,Frozen Foods
4779,11-09-2015,chewing gum,Snacks
2661,05-01-2015,tropical fruit,Produce
1136,11-03-2015,whole milk,Dairy
4286,09-12-2015,photo/film,Household Goods
2810,29-01-2015,butter,Dairy
3294,04-10-2015,onions,Produce
1567,04-01-2015,pot plants,Household Goods
4381,19-08-2015,chicken,Fresh meat
2340,10-10-2015,whole milk,Dairy
2570,24-08-2015,oil,Condiments and Spices
4922,17-12-2015,butter,Dairy
1339,23-05-2015,other vegetables,Produce
2245,04-03-2015,yogurt,Dairy
3583,23-09-2015,whole milk,Dairy
3469,20-05-2015,hard cheese,Dairy
4092,29-03-2015,beef,Fresh meat
1629,06-08-2015,tropical fruit,Produce
4763,28-10-2015,hard cheese,Dairy
4202,12-02-2015,pip fruit,Produce
2314,11-02-2015,other vegetables,Produce
2903,08-02-2015,other vegetables,Produce
4320,12-11-2015,whipped/sour cream,Dairy
4810,15-08-2015,dog food,Pets
1700,30-10-2015,other vegetables,Produce
3272,21-06-2015,yogurt,Dairy
3762,20-08-2015,rolls/buns,Bakery
1125,05-12-2015,shopping bags,Household Goods
3500,31-01-2015,pastry,Bakery
1174,26-01-2015,whipped/sour cream,Dairy
4875,26-10-2015,whole milk,Dairy
4871,19-09-2015,whole milk,Dairy
3009,14-08-2015,tropical fruit,Produce
3593,20-09-2015,grapes,Produce
4954,24-09-2015,whole milk,Dairy
4864,11-05-2015,baking powder,Baking
4464,03-04-2015,sugar,Baking
3089,17-10-2015,soda,Beverages
3764,11-10-2015,dog food,Pets
1804,26-01-2015,cream cheese ,Dairy
4804,14-07-2015,sliced cheese,Dairy
3545,30-11-2015,whipped/sour cream,Dairy
3904,30-01-2015,whipped/sour cream,Dairy
1893,01-11-2015,fruit/vegetable juice,Produce
3418,13-03-2015,detergent,Cleaning Items
3694,02-10-2015,rolls/buns,Bakery
2613,02-03-2015,yogurt,Dairy
3141,16-11-2015,other vegetables,Produce
4501,26-03-2015,berries,Produce
3424,05-01-2015,root vegetables,Produce
2564,05-12-2015,pastry,Bakery
2575,22-02-2015,beef,Fresh meat
4507,15-08-2015,citrus fruit,Produce
1492,29-01-2015,cream cheese ,Dairy
1514,04-08-2015,citrus fruit,Produce
1732,29-05-2015,long life bakery product,Bakery
3161,06-12-2015,frozen dessert,Frozen Dessert
3094,10-06-2015,grapes,Produce
1585,01-07-2015,yogurt,Dairy
1707,06-09-2015,whipped/sour cream,Dairy
2467,06-09-2015,other vegetables,Produce
2143,02-12-2015,onions,Produce
2088,02-09-2015,pastry,Bakery
2814,01-08-2015,yogurt,Dairy
3940,03-09-2015,root vegetables,Produce
4177,15-06-2015,canned beer,Alcohol
4260,19-10-2015,whipped/sour cream,Dairy
2169,11-01-2015,salty snack,Snacks
1612,11-06-2015,frozen vegetables,Frozen Foods
1464,06-03-2015,dessert,Dessert
3870,21-02-2015,yogurt,Dairy
3253,20-06-2015,frozen fish,Frozen Foods
2784,13-11-2015,margarine,Dairy
2548,11-11-2015,pork,Fresh meat
4064,02-10-2015,coffee,Beverages
2309,23-03-2015,yogurt,Dairy
3104,13-05-2015,whole milk,Dairy
2849,24-11-2015,yogurt,Dairy
3461,26-06-2015,soda,Beverages
1601,12-02-2015,soda,Beverages
3701,15-04-2015,long life bakery product,Bakery
3955,23-11-2015,root vegetables,Produce
4719,28-12-2015,whole milk,Dairy
1690,21-08-2015,curd,Dairy
1315,26-08-2015,rolls/buns,Bakery
3772,18-02-2015,waffles,Frozen Foods
3797,16-09-2015,butter,Dairy
3515,07-03-2015,rolls/buns,Bakery
4163,13-03-2015,soda,Beverages
1374,08-05-2015,rolls/buns,Bakery
2775,01-07-2015,chicken,Fresh meat
3937,25-04-2015,citrus fruit,Produce
3166,14-03-2015,UHT-milk,Dairy
1805,06-09-2015,pork,Fresh meat
2624,21-05-2015,specialty chocolate,Dessert
4072,14-08-2015,canned beer,Alcohol
1794,17-09-2015,bottled beer,Alcohol
3673,27-08-2015,specialty bar,Snacks
2696,09-02-2015,pip fruit,Produce
1991,12-09-2015,other vegetables,Produce
2321,26-01-2015,other vegetables,Produce
2636,19-05-2015,margarine,Dairy
4721,07-06-2015,grapes,Produce
3051,02-09-2015,napkins,Household Goods
1705,20-07-2015,cream cheese ,Dairy
4714,30-08-2015,specialty chocolate,Dessert
1327,06-08-2015,instant coffee,Beverages
4719,26-09-2015,specialty bar,Snacks
3185,03-02-2015,pastry,Bakery
3621,03-05-2015,other vegetables,Produce
3308,17-07-2015,soda,Beverages
1915,08-07-2015,soda,Beverages
2753,09-08-2015,cream cheese ,Dairy
2792,24-10-2015,root vegetables,Produce
1723,12-08-2015,margarine,Dairy
4398,11-08-2015,soda,Beverages
4667,25-08-2015,cream cheese ,Dairy
2691,02-05-2015,pip fruit,Produce
1636,12-05-2015,other vegetables,Produce
2681,05-02-2015,fruit/vegetable juice,Produce
3854,19-03-2015,shopping bags,Household Goods
2571,17-07-2015,sugar,Baking
3789,10-12-2015,salty snack,Snacks
4119,15-04-2015,whole milk,Dairy
3099,18-07-2015,whole milk,Dairy
1213,02-07-2015,fruit/vegetable juice,Produce
2294,31-08-2015,ice cream,Frozen Dessert
2149,23-05-2015,salty snack,Snacks
4019,28-08-2015,sauces,Condiments and Spices
4167,09-06-2015,condensed milk,Baking
2885,19-11-2015,bottled water,Beverages
4706,23-11-2015,chocolate,Dessert
3786,05-11-2015,zwieback,Bakery
2019,18-02-2015,flour,Baking
4675,31-10-2015,pastry,Bakery
4042,30-04-2015,citrus fruit,Produce
2102,14-02-2015,root vegetables,Produce
2240,12-01-2015,white bread,Bakery
2151,16-07-2015,other vegetables,Produce
3878,24-07-2015,rolls/buns,Bakery
4235,25-09-2015,bottled water,Beverages
4817,20-12-2015,dishes,Household Goods
1992,28-08-2015,rolls/buns,Bakery
3407,25-03-2015,tropical fruit,Produce
3668,22-10-2015,brandy,Alcohol
3500,21-07-2015,misc. beverages,Beverages
1874,15-06-2015,pastry,Bakery
1343,11-01-2015,specialty chocolate,Dessert
3234,16-08-2015,tropical fruit,Produce
1430,27-10-2015,white wine,Alcohol
3772,27-09-2015,cake bar,Dessert
2981,03-10-2015,whole milk,Dairy
1287,28-01-2015,pip fruit,Produce
1500,03-08-2015,pasta,Dry and Canned Foods
2193,14-04-2015,yogurt,Dairy
1997,21-07-2015,white bread,Bakery
4546,09-03-2015,whipped/sour cream,Dairy
4736,21-07-2015,yogurt,Dairy
1959,30-03-2015,specialty chocolate,Dessert
1974,05-03-2015,specialty chocolate,Dessert
2421,09-02-2015,margarine,Dairy
1513,08-03-2015,other vegetables,Produce
1905,07-07-2015,butter,Dairy
2810,09-08-2015,soda,Beverages
2867,11-12-2015,citrus fruit,Produce
3962,18-09-2015,sliced cheese,Dairy
1088,30-11-2015,domestic eggs,Dairy
4976,17-07-2015,liquor,Alcohol
4056,06-12-2015,chewing gum,Snacks
3611,13-02-2015,curd,Dairy
1420,14-01-2015,newspapers,Household Goods
4286,03-08-2015,butter,Dairy
4918,27-01-2015,spices,Condiments and Spices
4783,22-10-2015,whole milk,Dairy
3709,26-10-2015,pork,Fresh meat
4289,10-08-2015,curd,Dairy
1559,10-03-2015,semi-finished bread,Bakery
2900,04-11-2015,whole milk,Dairy
1905,21-02-2015,domestic eggs,Dairy
3527,29-09-2015,dessert,Dessert
1495,01-09-2015,packaged fruit/vegetables,Produce
3558,04-03-2015,rolls/buns,Bakery
3128,20-04-2015,soda,Beverages
1863,08-04-2015,UHT-milk,Dairy
3841,19-07-2015,frozen vegetables,Frozen Foods
3903,10-06-2015,condensed milk,Baking
2658,16-10-2015,semi-finished bread,Bakery
4272,06-06-2015,cream cheese ,Dairy
1120,26-09-2015,tropical fruit,Produce
2676,15-08-2015,canned beer,Alcohol
1697,21-05-2015,beverages,Beverages
2507,25-08-2015,coffee,Beverages
4620,03-11-2015,semi-finished bread,Bakery
3365,02-01-2015,whole milk,Dairy
2978,06-05-2015,other vegetables,Produce
2910,28-07-2015,soda,Beverages
1061,09-05-2015,Instant food products,Dry and Canned Foods
3276,04-03-2015,frozen vegetables,Frozen Foods
1326,19-06-2015,condensed milk,Baking
3023,28-07-2015,yogurt,Dairy
2185,10-11-2015,other vegetables,Produce
3552,16-06-2015,chewing gum,Snacks
1967,20-01-2015,hard cheese,Dairy
4708,20-03-2015,specialty bar,Snacks
2874,15-02-2015,other vegetables,Produce
4177,13-04-2015,butter,Dairy
1663,02-07-2015,whole milk,Dairy
2632,03-02-2015,long life bakery product,Bakery
1377,14-03-2015,fruit/vegetable juice,Produce
4162,22-12-2015,pip fruit,Produce
2270,07-01-2015,specialty bar,Snacks
4829,11-03-2015,yogurt,Dairy
3811,14-04-2015,whole milk,Dairy
4766,29-09-2015,canned beer,Alcohol
2436,04-12-2015,liquor,Alcohol
3860,05-05-2015,specialty cheese,Dairy
4875,05-12-2015,roll products ,Household Goods
1587,07-01-2015,hard cheese,Dairy
4038,07-08-2015,newspapers,Household Goods
4750,21-09-2015,shopping bags,Household Goods
1199,12-10-2015,bottled water,Beverages
1603,30-09-2015,whole milk,Dairy
3111,31-01-2015,other vegetables,Produce
3894,13-12-2015,curd,Dairy
1456,18-09-2015,specialty chocolate,Dessert
2022,03-04-2015,hard cheese,Dairy
2505,30-11-2015,whole milk,Dairy
4851,20-12-2015,tropical fruit,Produce
4293,08-04-2015,cream cheese ,Dairy
2775,11-06-2015,frozen vegetables,Frozen Foods
3693,18-02-2015,whole milk,Dairy
1202,22-07-2015,semi-finished bread,Bakery
3699,23-08-2015,brown bread,Bakery
4152,15-04-2015,pip fruit,Produce
4155,26-01-2015,oil,Condiments and Spices
4010,29-12-2015,brown bread,Bakery
4389,20-10-2015,soft cheese,Dairy
3746,17-08-2015,pip fruit,Produce
2560,17-05-2015,bottled water,Beverages
1503,25-07-2015,fruit/vegetable juice,Produce
2555,23-12-2015,fruit/vegetable juice,Produce
3645,12-12-2015,bottled water,Beverages
3886,09-11-2015,other vegetables,Produce
2932,20-03-2015,rolls/buns,Bakery
1711,18-06-2015,white bread,Bakery
4291,12-08-2015,chocolate marshmallow,Dessert
1143,25-04-2015,sugar,Baking
4564,07-08-2015,nuts/prunes,Snacks
3337,14-05-2015,waffles,Frozen Foods
4931,05-04-2015,pip fruit,Produce
2623,10-10-2015,margarine,Dairy
4581,04-03-2015,onions,Produce
2635,06-11-2015,rolls/buns,Bakery
1095,30-10-2015,domestic eggs,Dairy
2990,23-05-2015,brown bread,Bakery
2426,06-05-2015,tropical fruit,Produce
4555,11-07-2015,canned beer,Alcohol
3635,09-04-2015,brown bread,Bakery
3058,18-05-2015,rolls/buns,Bakery
4391,26-03-2015,tropical fruit,Produce
1306,23-06-2015,yogurt,Dairy
1024,08-10-2015,other vegetables,Produce
1295,23-07-2015,dessert,Dessert
1661,06-01-2015,pip fruit,Produce
4591,15-05-2015,yogurt,Dairy
3169,14-06-2015,herbs,Produce
3915,21-05-2015,cream cheese ,Dairy
1127,14-01-2015,margarine,Dairy
4828,08-08-2015,salt,Condiments and Spices
3683,06-10-2015,ice cream,Frozen Dessert
1971,18-09-2015,frozen meals,Frozen Foods
3014,11-11-2015,napkins,Household Goods
3779,15-09-2015,berries,Produce
2489,05-04-2015,cake bar,Dessert
3564,27-06-2015,coffee,Beverages
4092,30-09-2015,butter,Dairy
3221,13-01-2015,sweet spreads,Snacks
1279,09-06-2015,rolls/buns,Bakery
2581,22-08-2015,frozen meals,Frozen Foods
2295,25-02-2015,fruit/vegetable juice,Produce
4760,22-02-2015,dessert,Dessert
3649,16-01-2015,yogurt,Dairy
1075,19-11-2015,fruit/vegetable juice,Produce
3987,19-08-2015,domestic eggs,Dairy
4106,25-08-2015,margarine,Dairy
4338,24-06-2015,white bread,Bakery
4166,11-06-2015,whole milk,Dairy
1211,03-10-2015,yogurt,Dairy
3954,21-01-2015,rice,Dry and Canned Foods
3928,18-07-2015,bottled beer,Alcohol
3827,30-09-2015,tropical fruit,Produce
4699,02-08-2015,root vegetables,Produce
4747,06-08-2015,root vegetables,Produce
3028,06-09-2015,other vegetables,Produce
2851,16-03-2015,spread cheese,Dairy
4417,25-02-2015,sugar,Baking
3822,03-07-2015,shopping bags,Household Goods
2288,31-05-2015,specialty bar,Snacks
2184,30-06-2015,beef,Fresh meat
1345,21-07-2015,napkins,Household Goods
4441,11-09-2015,hygiene articles,Personal Care
2540,16-02-2015,tropical fruit,Produce
1997,06-06-2015,processed cheese,Dairy
2294,26-07-2015,bottled water,Beverages
1523,28-03-2015,citrus fruit,Produce
3165,18-08-2015,herbs,Produce
4831,04-12-2015,whole milk,Dairy
4073,11-02-2015,UHT-milk,Dairy
3661,25-07-2015,white wine,Alcohol
2019,10-09-2015,white bread,Bakery
1092,16-05-2015,other vegetables,Produce
4078,14-11-2015,newspapers,Household Goods
4753,21-06-2015,salty snack,Snacks
1279,09-10-2015,citrus fruit,Produce
1012,19-11-2015,onions,Produce
2362,23-11-2015,candy,Dessert
2789,02-06-2015,curd,Dairy
3229,08-07-2015,frozen vegetables,Frozen Foods
1715,05-03-2015,frozen meals,Frozen Foods
4351,16-01-2015,whole milk,Dairy
4397,27-06-2015,yogurt,Dairy
3653,21-10-2015,pork,Fresh meat
2730,11-10-2015,butter,Dairy
4321,27-10-2015,rolls/buns,Bakery
1086,17-11-2015,curd,Dairy
1708,28-12-2015,pastry,Bakery
4293,24-08-2015,soda,Beverages
4524,22-04-2015,yogurt,Dairy
3783,03-08-2015,soda,Beverages
1460,24-06-2015,whipped/sour cream,Dairy
2960,19-12-2015,yogurt,Dairy
3442,10-12-2015,misc. beverages,Beverages
4059,05-07-2015,curd,Dairy
1822,03-03-2015,pip fruit,Produce
1584,07-10-2015,hygiene articles,Personal Care
1624,02-04-2015,fruit/vegetable juice,Produce
4877,11-06-2015,rum,Alcohol
1567,04-11-2015,shopping bags,Household Goods
